Freq.	V(vin)	V(vout)
7.94328234724285e+06	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.20467759699604e+02dB,1.19824388015053e+02°)
1.00000000000000e+07	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.26791860141445e+02dB,1.14512163734042e+02°)
1.25892541179417e+07	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.33515476008371e+02dB,1.10509355788668e+02°)
1.58489319246112e+07	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.40946313140996e+02dB,1.07897066922379e+02°)
1.99526231496889e+07	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.49970592856596e+02dB,1.07562289801461e+02°)
2.51188643150959e+07	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.65203945725522e+02dB,1.21541932148371e+02°)
3.16227766016839e+07	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.64187660307566e+02dB,-9.49937372038536e+01°)
3.98107170553499e+07	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.60096365848552e+02dB,-8.90013165460825e+01°)
5.01187233627275e+07	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.59672875863355e+02dB,-8.82708438338588e+01°)
6.30957344480196e+07	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.60427798421030e+02dB,-8.83182416682036e+01°)
7.94328234724286e+07	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.61724048962760e+02dB,-8.85404890527476e+01°)
1.00000000000001e+08	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.63307305659882e+02dB,-8.87861427732494e+01°)
1.25892541179417e+08	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.65054156491640e+02dB,-8.90104821393693e+01°)
1.58489319246112e+08	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.66898095139487e+02dB,-8.92018882406011e+01°)
1.99526231496889e+08	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.68801031366663e+02dB,-8.93601407239609e+01°)
2.51188643150959e+08	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.70740334208389e+02dB,-8.94888391115110e+01°)
3.16227766016840e+08	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.72702251036831e+02dB,-8.95925320201628e+01°)
3.98107170553499e+08	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.74678306644904e+02dB,-8.96756208244902e+01°)
5.01187233627275e+08	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.76663232185320e+02dB,-8.97419792774632e+01°)
6.30957344480197e+08	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.78653734104396e+02dB,-8.97948683393233e+01°)
7.94328234724286e+08	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.80647746487205e+02dB,-8.98369688181449e+01°)
1.00000000000000e+09	(-2.00000000000000e+01dB,0.00000000000000e+00°)	(-1.82643970649829e+02dB,-8.98704550168991e+01°)
